timestamp,session,session_name,gear,brake_percent,throttle_percent,driver_name,vehicle_name,place
2025-08-11T20:03:54.657Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:54.762Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:54.869Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:54.979Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.087Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.192Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.301Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.408Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.514Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.623Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.729Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.835Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:55.942Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.049Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.157Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.264Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.356Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.465Z,5,Qualifying_1,1,0.0,19.57,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.571Z,5,Qualifying_1,1,0.0,28.57,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.680Z,5,Qualifying_1,1,0.0,41.67,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.785Z,5,Qualifying_1,1,0.0,64.87,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.889Z,5,Qualifying_1,1,0.0,73.83,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:56.995Z,5,Qualifying_1,1,0.0,57.32,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:57.102Z,5,Qualifying_1,1,0.0,57.89,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:57.210Z,5,Qualifying_1,1,0.0,58.17,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:57.314Z,5,Qualifying_1,1,0.0,58.17,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:57.423Z,5,Qualifying_1,1,0.0,54.75,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:57.530Z,5,Qualifying_1,1,0.0,43.39,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:57.640Z,5,Qualifying_1,1,0.0,42.77,Hugo PDVN,Manthey 2025 #90:LM,11
2025-08-11T20:03:57.747Z,5,Qualifying_1,1,0.0,42.77,Hugo PDVN,Manthey 2025 #90:LM,11
2025-08-11T20:03:57.852Z,5,Qualifying_1,1,0.0,33.02,Hugo PDVN,Manthey 2025 #90:LM,11
2025-08-11T20:03:57.960Z,5,Qualifying_1,1,0.0,28.68,Hugo PDVN,Manthey 2025 #90:LM,11
2025-08-11T20:03:58.068Z,5,Qualifying_1,1,0.0,27.81,Hugo PDVN,Manthey 2025 #90:LM,11
2025-08-11T20:03:58.174Z,5,Qualifying_1,1,0.0,22.59,Hugo PDVN,Manthey 2025 #90:LM,11
2025-08-11T20:03:58.282Z,5,Qualifying_1,1,0.0,7.82,Hugo PDVN,Manthey 2025 #90:LM,12
2025-08-11T20:03:58.386Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:58.491Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:58.598Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:58.721Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:58.825Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:58.932Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.037Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.145Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.252Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.360Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.468Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.576Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.684Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:03:59.790Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:03:59.895Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:04:00.002Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:04:00.107Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:04:00.213Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:04:00.320Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:04:00.427Z,5,Qualifying_1,1,0.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:00.534Z,5,Qualifying_1,1,0.0,1.98,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:00.643Z,5,Qualifying_1,1,0.0,4.67,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:00.750Z,5,Qualifying_1,1,0.0,6.35,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:00.854Z,5,Qualifying_1,1,0.0,12.7,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:00.960Z,5,Qualifying_1,1,0.0,22.03,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:01.067Z,5,Qualifying_1,1,0.0,28.17,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:01.174Z,5,Qualifying_1,1,0.0,28.17,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:01.283Z,5,Qualifying_1,1,0.0,30.95,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:01.389Z,5,Qualifying_1,1,0.0,36.69,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:01.495Z,5,Qualifying_1,1,0.0,44.29,Hugo PDVN,Manthey 2025 #90:LM,15
2025-08-11T20:04:01.599Z,5,Qualifying_1,1,0.0,49.6,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:04:01.705Z,5,Qualifying_1,1,0.0,49.6,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:04:01.810Z,5,Qualifying_1,1,4.6,49.6,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:04:01.916Z,5,Qualifying_1,1,12.57,49.6,Hugo PDVN,Manthey 2025 #90:LM,14
2025-08-11T20:04:02.020Z,5,Qualifying_1,1,18.61,49.6,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:04:02.125Z,5,Qualifying_1,1,23.92,49.6,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:04:02.230Z,5,Qualifying_1,1,27.13,49.6,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:04:02.335Z,5,Qualifying_1,1,29.52,49.6,Hugo PDVN,Manthey 2025 #90:LM,13
2025-08-11T20:04:02.442Z,5,Qualifying_1,1,31.32,49.6,Hugo PDVN,Manthey 2025 #90:LM,13
